nombre,temporada,posicion,edad,partidos,goles,asistencias,probabilidad,prediccion,etiqueta
Pablo Ledesma,2006,Central Midfield,22,48,2,9,0.5965559821728347,1,1
Lautaro Blanco,2023,Left-Back,24,46,0,9,0.5848627421236953,1,0
Marcelo Delgado,2004,Centre-Forward,31,28,3,3,0.5679388621400776,1,0
Matías Donnet,2002,Attacking Midfield,22,31,5,1,0.5534172134187074,1,1
Exequiel Zeballos,2022,Right Winger,20,21,2,4,0.551562160409746,1,0
Pablo Ledesma,2011,Central Midfield,27,29,4,1,0.5471646633651063,1,0
Gonzalo Maroni,2020,Attacking Midfield,21,13,3,0,0.5410230642851523,1,0
Fabián Vargas,2008,Central Midfield,28,38,2,7,0.5356581782406108,1,1
Agustín Marchesín,2024,Goalkeeper,36,40,0,0,0.5349935953849371,1,0
Eduardo Salvio,2021,Right Winger,30,19,4,0,0.5275048091773991,1,0
Gustavo Barros Schelotto,2000,Central Midfield,27,14,2,1,0.5128682024612295,1,0
Frank Fabra,2020,Left-Back,29,36,2,5,0.5104599889481493,1,0
Raúl Estévez,2002,Right Winger,24,26,1,6,0.5093572559347288,1,0
Nahitan Nández,2017,Right Midfield,21,38,4,3,0.5070260188538088,1,1
Marcelo Saracchi,2023,Left-Back,25,25,3,3,0.4899835235651783,0,0
Rolando Schiavi,2012,Centre-Back,39,19,3,0,0.45133512209573656,0,0
Christian Giménez,2001,Attacking Midfield,20,31,4,1,0.4494268109490222,0,0
Juan Krupoviesa,2006,Left-Back,27,12,2,1,0.42151265599912235,0,0
Guillermo Barros Schelotto,2005,Centre-Forward,32,24,3,1,0.4183568252240932,0,0
Lucas Viatri,2009,Centre-Forward,22,22,4,0,0.4006684820483194,0,0
Jorge Martínez,2001,Right-Back,28,23,2,1,0.3986787551213825,0,0
Sebastián Battaglia,2006,Defensive Midfield,25,23,3,0,0.39760287915840836,0,0
Luis Advíncula,2022,Right-Back,32,40,4,4,0.39355555453342667,0,1
Lautaro Acosta,2012,Left Winger,24,27,0,3,0.39332470915168366,0,0
Matías Giménez,2009,Left Midfield,24,8,2,0,0.39116184161938267,0,0
Eros Mancuso,2020,Right-Back,21,6,1,1,0.38948555504473636,0,0
